result_city,result_postcode,result_status,operator_name,2G,3G,4G
Arcachon,33120,ok,orange,0,1,1
Arcachon,33120,ok,orange,1,1,1
Arcachon,33120,ok,sfr,1,1,1
Arcangues,64200,ok,bouygues,1,1,0
Arcangues,64200,ok,bouygues,1,1,1
Arcangues,64200,ok,free,0,1,0
Arcangues,64200,ok,free,0,1,1
Arcangues,64200,ok,orange,0,1,0
Arcangues,64200,ok,orange,1,1,1
Arceau,21310,ok,bouygues,1,0,0
Arcizac-Adour,65360,ok,free,0,1,1
Arcueil,94110,ok,bouygues,1,1,1
Ardentes,36120,ok,bouygues,1,1,1
Ardin,79160,ok,bouygues,1,1,1
Ardres,62610,ok,sfr,1,1,1
Aren,64400,ok,bouygues,1,1,1
Arengosse,40110,ok,sfr,1,1,0
Argeliers,11120,ok,free,0,1,0
Argeliers,11120,ok,free,0,1,1
Argeliers,11120,ok,orange,0,1,1
Argelos,64450,ok,sfr,0,1,0
Argelès-Gazost,65400,ok,sfr,0,1,0
Argelès-sur-Mer,66700,ok,sfr,1,1,0
Argelès-sur-Mer,66700,ok,sfr,1,1,1
Argences,14370,ok,bouygues,1,1,1
Argent-sur-Sauldre,18410,ok,orange,1,1,1
Argent-sur-Sauldre,18410,ok,sfr,1,1,1
Argenteuil,95100,ok,bouygues,1,1,1
Argenteuil,95100,ok,orange,1,1,0
Argenteuil,95100,ok,orange,1,1,1
Argenteuil,95100,ok,sfr,1,1,0
Argenteuil,95100,ok,sfr,1,1,1
Argentine,73220,ok,orange,1,1,0
Argenton-sur-Creuse,36200,ok,orange,1,1,1
Argenton-sur-Creuse,36200,ok,sfr,1,1,1
Argentré-du-Plessis,35370,ok,free,0,1,1
Argenvières,18140,ok,sfr,0,1,1
Argilly,21700,ok,bouygues,1,1,1
Argilly,21700,ok,orange,1,1,0
Argilly,21700,ok,sfr,1,1,0
Argilly,21700,ok,sfr,1,1,1
Argis,1230,ok,orange,1,1,0
Arlanc,63220,ok,sfr,1,1,1
Arles,13123,ok,free,0,1,1
Arles,13200,ok,bouygues,1,1,1
Arles,13200,ok,orange,0,0,1
Arles,13200,ok,sfr,1,1,0
Arleux,59151,ok,bouygues,1,1,1
Arleux,59151,ok,free,0,1,0
Arleux,59151,ok,orange,1,1,0
Arleux,59151,ok,sfr,0,0,1
Armentières,59280,ok,sfr,1,1,1
Armissan,11110,ok,sfr,1,1,1
Arnas,69400,ok,bouygues,1,1,0
Arnas,69400,ok,free,0,1,0
Arnas,69400,ok,free,0,1,1
Arnas,69400,ok,orange,0,1,0
Arnas,69400,ok,orange,1,1,1
Arnas,69400,ok,sfr,1,1,0
Arnas,69400,ok,sfr,1,1,1
Arnouville,95400,ok,free,0,1,1
Arpajon,91290,ok,sfr,1,1,1
Arras,62000,ok,bouygues,1,1,1
Arras,62000,ok,free,0,1,1
Arras,62000,ok,orange,1,1,0
Arras,62000,ok,sfr,1,1,0
Arras,62000,ok,sfr,1,1,1
Ars-sur-Formans,1480,ok,orange,1,1,0
Ars-sur-Formans,1480,ok,orange,1,1,1
Ars-sur-Moselle,57130,ok,bouygues,1,1,1
Ars-sur-Moselle,57130,ok,orange,0,1,0
Ars-sur-Moselle,57130,ok,sfr,1,1,0
Arsac,33460,ok,bouygues,1,1,1
Arsac,33460,ok,orange,1,1,0
Arsac,33460,ok,sfr,1,1,1
Artenay,45410,ok,orange,0,0,0
Artenay,45410,ok,orange,1,1,1
Artignosc-sur-Verdon,83630,ok,bouygues,1,1,1
Artignosc-sur-Verdon,83630,ok,sfr,1,1,1
Artigueloutan,64420,ok,bouygues,1,1,1
Artigueloutan,64420,ok,sfr,1,1,1
Artigues-près-Bordeaux,33370,ok,bouygues,1,1,1
Arudy,64260,ok,sfr,1,1,0
Arue,98701,ok,orange,1,1,1
Arvert,17530,ok,bouygues,1,1,1
Arvert,17530,ok,sfr,1,1,1
Arzal,56190,ok,free,0,1,1
Arzviller,57405,ok,bouygues,1,1,0
Arzviller,57405,ok,free,0,1,0
Arzviller,57405,ok,sfr,1,1,0
Arès,33740,ok,orange,1,1,1
Ascain,64310,ok,orange,1,1,1
Aschbach,67250,ok,orange,1,1,0
Asfeld,8190,ok,bouygues,1,1,1
Asfeld,8190,ok,free,0,1,0
Asfeld,8190,ok,sfr,1,1,1
Asnan,58420,ok,bouygues,1,1,1
Aspères,30250,ok,sfr,1,1,1
Asquins,89450,ok,bouygues,1,1,1
Assat,64510,ok,bouygues,1,1,1
Assenay,10320,ok,sfr,1,1,1
Assevent,59600,ok,bouygues,1,1,1
Assevent,59600,ok,sfr,1,1,0
Assérac,44410,ok,orange,1,0,0
Astaffort,47220,ok,orange,1,1,0
Athies,62223,ok,orange,0,1,1
Athis-Mons,91200,ok,bouygues,1,1,0
Athis-Mons,91200,ok,bouygues,1,1,1
Athis-Mons,91200,ok,free,0,1,0
Athis-Mons,91200,ok,orange,0,0,0
Athis-Mons,91200,ok,orange,0,1,0
Athis-Mons,91200,ok,orange,1,1,0
Athis-Mons,91200,ok,sfr,0,1,0
Athis-Mons,91200,ok,sfr,1,1,0
Athis-Mons,91200,ok,sfr,1,1,1
Athis-Val de Rouvre,61430,ok,free,0,1,1
Athis-Val de Rouvre,61430,ok,sfr,1,1,0
Attiches,59551,ok,orange,1,1,0
Attiches,59551,ok,sfr,1,1,1
Attignat,1340,ok,free,0,1,1
Attigny,8130,ok,sfr,1,1,1
Attin,62170,ok,bouygues,1,0,0
Attin,62170,ok,bouygues,1,1,1
Attin,62170,ok,orange,1,1,1
Attray,45170,ok,orange,1,1,1
Aubagne,13400,ok,bouygues,0,1,0
Aubagne,13400,ok,bouygues,0,1,1
Aubagne,13400,ok,bouygues,1,0,0
Aubagne,13400,ok,bouygues,1,1,0
Aubagne,13400,ok,bouygues,1,1,1
Aubagne,13400,ok,free,0,1,0
Aubagne,13400,ok,free,0,1,1
Aubagne,13400,ok,orange,0,0,0
Aubagne,13400,ok,orange,0,1,0
Aubagne,13400,ok,orange,0,1,1
Aubagne,13400,ok,orange,1,0,0
Aubagne,13400,ok,orange,1,1,0
Aubagne,13400,ok,orange,1,1,1
Aubagne,13400,ok,sfr,0,0,1
Aubagne,13400,ok,sfr,0,1,0
Aubagne,13400,ok,sfr,1,0,0
Aubagne,13400,ok,sfr,1,1,0
Aubagne,13400,ok,sfr,1,1,1
Aubais,30250,ok,sfr,1,1,1
Aubazines,19190,ok,bouygues,1,0,0
